source_id,theme,kind,status,is_polled,has_stored_permission_evidence,host,reviewer_reason
S192,groundwater,groundwater_reporting_chart,collected,no,yes,www.hidmet.gov.rs,Article36 citation required for published data; state-fund transfer consent provision retained. Raw redistribution unresolved.
S193,spatial_backbone,gis_service,account_required,no,yes,ogc4u.geosrbija.rs,"NO open licence stated on the OGC page; DKP (cadastre) explicitly needs a data-sharing agreement (Zakon o RAT, Tarifni broj 215i); other layers ungated in practice. BEOPS use: orientation base map for the studies and the document, simplified, attributed 'GeoSrbija / RGZ', never redistributed as a data product. Licence question marked for the lawyer list."
S194,spatial_backbone,gis_service,opted_out,no,yes,nominatim.openstreetmap.org,"ODbL 1.0, attribution '© OpenStreetMap contributors'; used as simplified orientation geometry in the studies and the document, attributed, not redistributed as a data product"
S195,media,news_feed,probe_ok,yes,yes,www.rts.rs,"public media service (Zakon o javnim medijskim servisima) - a copyright holder, not a state body; no reuse statement found; headline+link only"
S196,media,news_feed,probe_ok,yes,yes,www.novosti.rs,"no reuse statement found; government-aligned per documented media research - service content, not politics; headline+link only"
S197,media,news_feed,probe_ok,yes,yes,www.euronews.rs,no reuse statement found; franchise of Euronews operated by a Serbian licensee - ownership to record; headline+link only
S198,media,news_feed,probe_ok,yes,yes,www.b92.net,no reuse statement found; headline+link only
S199,media,news_feed,probe_ok,yes,yes,www.cins.rs,no licence element in the feed; headline+link only
S20,ground_motion,citizen_seismic_network,primary_page,no,yes,raspberryshake.org,redistribution restricted; not unconditional free public backend
S200,media,news_feed,probe_ok,yes,yes,www.cenzolovka.rs,no reuse statement found; headline+link only
S201,media,news_feed,probe_ok,yes,yes,www.masina.rs,no reuse statement found; headline+link only
S202,media,news_feed,probe_ok,yes,yes,www.istinomer.rs,no reuse statement found; headline+link only
S203,documentary,news_feed,probe_ok,yes,yes,www.srbija.gov.rs,"official materials of a state body - Copyright Act Art. 6(2), not copyright works"
S204,documentary,refusal,opted_out,no,yes,www.mup.gov.rs,"NAMED OPT-OUT. Official materials of a state body would be outside copyright (Art. 6(2)), but the project honours a named refusal regardless of copyright. Do not collect. Do not propose again."
S205,media,news_feed,probe_ok,no,yes,nova.rs,same Adria News / Alpac Capital sale as S69/S73; no reuse statement found
S206,mobility,official_transport_notice,lead,no,yes,www.putevi-srbije.rs,"public enterprise notices of a body exercising public function (Art. 6(2)) - the 'all rights reserved' footer cannot reserve what the Act excludes, but photographs and the site design stay protected"
S207,media,news_feed,probe_ok,yes,yes,www.blic.rs,Ringier; no reuse statement found; headline+link only
S208,documentary,municipal_feed,probe_ok,yes,yes,www.beograd.rs,official materials of a body exercising public function - Copyright Act Art. 6(2); terms permit downloading source documents with attribution and a link
S209,utilities,refusal,opted_out,no,yes,www.beogradput.com,NAMED OPT-OUT. Do not collect. Do not propose again.
S21,vision,public_camera_display,primary_page,no,yes,www.amss.org.rs,computer-vision processing and republication not approved
S210,utilities,refusal,opted_out,no,yes,www.gradskacistoca.rs,NAMED OPT-OUT. Do not collect.
S211,mobility,refusal,opted_out,no,no,beg.aero,a bot wall is a refusal for an honest collector: we do not solve challenges
S212,mobility,official_transport_notice,lead,no,yes,srbijavoz.rs,"public enterprise notices, Art. 6(2)"
S213,utilities,municipal_feed,lead,no,yes,infostan.rs,"public enterprise notices, Art. 6(2)"
S214,utilities,negative_finding,probe_tls_failed,no,yes,www.zelenilo.rs,n/a
S215,official,official_gazette,lead,no,no,www.sllistbeograd.rs,"Art. 6(1)-(2): acts of the City, of its municipalities, of the Constitutional Court and of the public utility enterprises are regulations and official materials - not copyright works."
S216,official,municipal_feed,lead,no,no,www.novibeograd.rs,Art. 6(2) - official materials of a body exercising a public function.
S217,official,municipal_feed,lead,no,no,zvezdara.rs,Art. 6(2) - official materials of a body exercising a public function.
S218,official,municipal_feed,lead,no,no,www.starigrad.org.rs,Art. 6(2) - official materials of a body exercising a public function.
S22,vision,global_camera_catalogue,primary_page,no,yes,api.windy.com,provider/camera-specific terms
S23,sound,global_live_soundscape_network,primary_page,no,yes,locusonus.org,artistic-use attribution stated; inspect exact stream terms
S24,iot,global_sensor_registry,primary_page,no,yes,api.opensensemap.org,verify API/data licence
S25,precipitation,satellite_precipitation_estimate,primary_page,no,yes,gpm.nasa.gov,NASA policy and product attribution to retain
S26,thermal,satellite_hotspot_detection,primary_page,no,yes,firms.modaps.eosdis.nasa.gov,check product terms and attribution
S27,land_change,multispectral_earth_observation,primary_page,no,yes,dataspace.copernicus.eu,Copernicus product terms/attribution
S28,economy,merchant_price_report,probe_ok,no,yes,data.gov.rs,catalogue lists Serbian Open Data Licence; retain attribution and validate exact output
S29,economy_memory,official_aggregate_statistics,primary_page,no,yes,opendata.stat.gov.rs,portal permits reuse with source/date/modification attribution
S30,economy_memory,legal_register_snapshot,primary_page,no,yes,data.gov.rs,catalogue states Serbian Open Data Licence
S31,planning,planning_process_document,primary_page,no,yes,www.beograd.rs,document-specific review
S32,memory,historical_catalogue,lead,no,yes,www.arhiv-beograda.org,item-specific; public catalogue does not licence scans
S33,spatial_backbone,community_map_snapshot,lead,no,yes,download.geofabrik.de,verify ODbL obligations and attribution for selected external service output
S34,iot,citizen_sensor_observation,probe_ok,no,no,api.opensensemap.org,ODbL/owner data terms to verify
S35,spatial_change,community_map_edit_stream,probe_ok,no,yes,api.openstreetmap.org,ODbL attribution required
S36,mobility,air_traffic_observation,probe_ok,no,yes,opensky-network.org,OpenSky terms; verify rate limits before scheduling
S37,connectivity,network_probe_metadata,probe_ok,no,yes,atlas.ripe.net,RIPE Atlas terms
S38,media,media_discovery,probe_ok,no,yes,api.gdeltproject.org,GDELT terms; discovery layer only
S39,network,network_routing,probe_ok,no,yes,stat.ripe.net,RIPE NCC terms
S40,radiological,radiological,probe_ok,no,yes,remap.jrc.ec.europa.eu,JRC platform terms; SRBATOM states data available to the public
S41,biodiversity,biological,probe_ok,no,yes,api.gbif.org,"per-dataset licences, mostly CC-BY; attribution required"
S42,documentary,documentary,primary_page,no,yes,jnportal.ujn.gov.rs,public register
S43,documentary,documentary,primary_page,no,yes,www.apr.gov.rs,public register
S44,spatial,spatial,primary_page,no,yes,katastar.rgz.gov.rs,RGZ terms
S45,network,network_outage,probe_ok,no,yes,ioda.inetintel.cc.gatech.edu,CAIDA / Georgia Tech terms
S46,network,network_traffic,probe_ok,no,yes,radar.cloudflare.com,Cloudflare terms
S47,electromagnetic,radio_propagation,probe_ok,no,yes,wspr.live,open data
S48,energy,electrical_grid,probe_ok,no,yes,www.mainsfrequency.com,site terms
S49,atmosphere,air_quality_official,probe_ok,no,yes,vazduh.sepa.gov.rs,state agency publication; no explicit reuse licence found on the page
S50,atmosphere,air_quality_official,probe_ok,no,yes,www.beoeko.com,city institute publication
S51,atmosphere,precipitation_radar,probe_ok,no,yes,www.hidmet.gov.rs,RHMZ terms
S52,hydrology,river_gauge,collected,yes,yes,www.hidmet.gov.rs,RHMZ terms
S53,seismic,seismic,probe_ok,no,yes,www.seismo.gov.rs,state institute publication
S54,energy,infrastructure_works,collected,yes,yes,www.elektrodistribucija.rs,utility publication
S55,aviation,airspace,probe_ok,no,yes,www.smatsa.rs,only official SMATSA publications are authoritative
S56,aviation,airport,probe_ok,no,yes,beg.aero,airport terms
S57,mobility,traffic_counts,collected,no,yes,www.putevi-srbije.rs,"public enterprise publication, no stated reuse licence - see 08-provenance/EDGE_CASES.md E-003"
S58,remote_sensing,nightlights,probe_ok,no,yes,ladsweb.modaps.eosdis.nasa.gov,NASA open data
S59,electromagnetic,spectrum_register,lead,no,yes,registar.ratel.rs,public register
S60,atmosphere,air_quality_citizen,lead,no,yes,map.purpleair.com,PurpleAir terms
S61,acoustic,negative_finding,no_coverage,no,no,www.eea.europa.eu,EEA terms
S62,spatial,negative_finding,no_coverage,no,no,land.copernicus.eu,Copernicus terms
S63,water,negative_finding,no_coverage,no,no,www.bvk.rs,n/a
S64,spatial,negative_finding,no_coverage,no,no,www.beograd.rs,n/a
S65,atmosphere,negative_finding,dead,no,no,www.zdravlje.org.rs,city institute
S66,atmosphere,negative_finding,dead,no,no,www.airnow.gov,n/a
S67,electromagnetic,negative_finding,no_coverage,no,no,www.e-callisto.org,open network
S68,media,news_feed,probe_ok,yes,yes,www.tanjug.rs,"private publisher (Tacno d.o.o.); 'all rights reserved'; no reuse statement found; headline+link only (corrected 2026-09-09, see news_audit_2026_09_09)"
S69,media,news_feed,probe_ok,yes,yes,www.danas.rs,no reuse statement
S70,media,news_feed,probe_ok,no,yes,www.kurir.rs,no statement
S71,media,news_feed,probe_ok,no,yes,www.telegraf.rs,no statement
S72,media,news_feed,probe_ok,no,yes,informer.rs,no statement
S73,media,news_feed,probe_ok,no,yes,n1info.rs,no statement
S74,media,news_feed,probe_ok,yes,yes,www.gradnja.rs,no statement
S75,media,news_feed,probe_ok,yes,yes,studiob.rs,no statement
S76,media,news_feed,probe_ok,yes,yes,beta.rs,teaser slice of a paid wire
S77,media,news_feed,probe_ok,no,yes,www.krik.rs,no statement
S78,media,news_feed,probe_ok,yes,yes,www.danubeogradu.rs,no statement
S79,documentary,municipal_feed,probe_ok,no,yes,vracar.rs,no statement
S80,documentary,open_data_portal,probe_ok,no,yes,data.gov.rs,portal terms
S81,documentary,official_gazette,primary_page,no,yes,www.sllistbeograd.rs,NOT A COPYRIGHT WORK - Copyright Act Art. 6(2) excludes official materials of bodies exercising public function
S82,documentary,forecast_notice,lead,no,yes,urbel.com,public notices
S83,weather,nwp_model,probe_ok,no,yes,data.ecmwf.int,CC-BY-4.0 under ECMWF Terms of Use
S84,seismic,seismic,probe_ok,no,yes,www.seismicportal.eu,EMSC terms; text not retrieved verbatim
S85,weather,solar_meteo,probe_ok,no,yes,power.larc.nasa.gov,public-domain style
S86,atmosphere,air_quality_model,probe_ok,no,yes,ads.atmosphere.copernicus.eu,CC-BY
S87,weather,reanalysis,probe_ok,no,yes,cds.climate.copernicus.eu,Copernicus licence
S88,remote_sensing,satellite,probe_ok,no,yes,dataspace.copernicus.eu,"free, full and open, attribution required"
S89,fire,fire,probe_ok,no,yes,firms.modaps.eosdis.nasa.gov,NASA open data
S90,precipitation,precipitation,probe_ok,no,yes,gpm.nasa.gov,NASA open data
S91,geomagnetic,geomagnetic,probe_ok,no,yes,imag-data.bgs.ac.uk,supplied on condition they are not used for commercial gain
S92,land,land_cover,probe_ok,no,yes,land.copernicus.eu,Copernicus free and open
S93,water,surface_water,probe_ok,no,yes,global-surface-water.appspot.com,full and open access conforming to the Copernicus Regulation
S94,built_form,built_form,probe_ok,no,yes,ghsl.jrc.ec.europa.eu,CC-BY-4.0
S95,built_form,built_form,probe_ok,no,yes,overturemaps.org,"ODbL, inherited from OSM"
S96,built_form,built_form,probe_ok,no,yes,github.com,CDLA Permissive 2.0
S97,energy,infrastructure,probe_ok,no,yes,openinframap.org,ODbL
S98,reference,reference,probe_ok,no,yes,www.naturalearthdata.com,PUBLIC DOMAIN - the cleanest licence in the registry
S99,reference,reference,probe_ok,no,yes,gadm.org,freely available for academic and other non-commercial use; REDISTRIBUTION AND COMMERCIAL USE NEED PERMISSION
